,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
5111,5111,Woven fabrics of carded wool or of carded fine animal hair,47,Weight in kilograms,0.0,26,Weight in kilograms,0.0,0.0,21,44.680851063829785,,0.0,
5201,5201,Cotton; not carded or combed,4,Weight in kilograms,0.0,0,Weight in kilograms,0.0,0.0,4,100.0,,0.0,
5202,5202,Cotton waste (including yarn waste and garnetted stock),40092,Weight in kilograms,0.06,0,Weight in kilograms,0.0,0.06,40092,100.0,100.0,0.06,100.0
5204,5204,"Cotton sewing thread, whether or not put up for retail sale",10340,Weight in kilograms,0.01,0,Weight in kilograms,0.0,0.01,10340,100.0,100.0,0.01,100.0
5205,5205,"Cotton yarn (other than sewing thread), containing 85% or more by weight of cotton, not put up for retail sale",28841,Weight in kilograms,0.14,19588,Weight in kilograms,0.11,0.030000000000000013,9253,32.08279879338442,21.428571428571434,0.030000000000000013,21.428571428571434
5208,5208,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing not more than 200 g/m2",45106,Weight in kilograms,0.35,9686,Weight in kilograms,0.1,0.24999999999999997,35420,78.52613842947723,71.42857142857143,0.24999999999999997,71.42857142857143
5209,5209,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing more than 200g/m2",40993,Weight in kilograms,0.28,52359,Weight in kilograms,0.36,-0.07999999999999996,-11366,-27.726685043787963,-28.57142857142855,0.07999999999999996,28.57142857142855
5210,5210,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing not more than 200 g/m2",36023,Weight in kilograms,0.47,28180,Weight in kilograms,0.41,0.06,7843,21.772201093745664,12.76595744680851,0.06,12.76595744680851
5211,5211,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2",3833,Weight in kilograms,0.04,10310,Weight in kilograms,0.17,-0.13,-6477,-168.9799112966345,-325.0,0.13,325.0
5212,5212,"Other woven fabrics of cotton, n.e.c. in chapter 52",0,Weight in kilograms,0.0,256,Weight in kilograms,0.0,0.0,-256,-inf,,0.0,
5306,5306,Flax yarn,50,Weight in kilograms,0.0,0,Weight in kilograms,0.0,0.0,50,100.0,,0.0,
5311,5311,Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn,0,Weight in kilograms,0.0,32,Weight in kilograms,0.0,0.0,-32,-inf,,0.0,
5401,5401,"Sewing thread of man-made filaments, whether or not put up for retail sale",13230,Weight in kilograms,0.15,20281,Weight in kilograms,0.19,-0.04000000000000001,-7051,-53.29554043839758,-26.66666666666667,0.04000000000000001,26.66666666666667
