,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
3820,3820,Anti-freezing preparations and prepared de-icing fluids,2824,Weight in kilograms,0.05,20607,Weight in kilograms,0.07,-0.020000000000000004,-17783,-629.7096317280453,-40.00000000000001,0.020000000000000004,40.00000000000001
3821,3821,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",4966,Weight in kilograms,2.28,3488,Weight in kilograms,0.14,2.1399999999999997,1478,29.762384212645994,93.85964912280701,2.1399999999999997,93.85964912280701
3822,3822,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",91604,Weight in kilograms,9.7,70359,Weight in kilograms,8.29,1.4100000000000001,21245,23.19221868040697,14.536082474226808,1.4100000000000001,14.536082474226808
3823,3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols,2675660,Weight in kilograms,1.78,2388144,Weight in kilograms,1.47,0.31000000000000005,287516,10.745610428828774,17.415730337078656,0.31000000000000005,17.415730337078656
3824,3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included",4040200,Weight in kilograms,27.2,5922426,Weight in kilograms,44.92,-17.720000000000002,-1882226,-46.587446166031384,-65.14705882352942,17.720000000000002,65.14705882352942
3825,3825,"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other residual products.",50,Weight in kilograms,0.0,0,Weight in kilograms,0.0,0.0,50,100.0,,0.0,
3901,3901,"Polymers of ethylene, in primary forms",20042015,Weight in kilograms,43.21,16311745,Weight in kilograms,35.95,7.259999999999998,3730270,18.612250315150447,16.80166628095348,7.259999999999998,16.80166628095348
3902,3902,"Polymers of propylene or of other olefins, in primary forms",10733067,Weight in kilograms,23.62,11300532,Weight in kilograms,20.38,3.240000000000002,-567465,-5.287072185424726,13.717188823031337,3.240000000000002,13.717188823031337
3903,3903,"Polymers of styrene, in primary forms",3238304,Weight in kilograms,8.22,2772579,Weight in kilograms,7.06,1.160000000000001,465725,14.381756623220058,14.111922141119232,1.160000000000001,14.111922141119232
3904,3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",502595710,Weight in kilograms,501.82,482929105,Weight in kilograms,452.07,49.75,19666605,3.913006937524397,9.913913355386393,49.75,9.913913355386393
